company,zoominfo_topic,zoominfo_score,initial_segment_guess,initial_fit_score,beta_priority,status,next_action,reason_notes,source
Accede Mold & Tool,Cost Control,99,Manufacturing / tooling,5,P1,Ready for research,Build report-first opportunity brief,Strong score; manufacturing/tooling appears aligned with indirect spend categories,ZoomInfo email
PMP,Cost Control,65,Unknown,2,Hold,Needs disambiguation,Ask Jeff/ZoomInfo for domain or link,Company name too ambiguous from source-only data,ZoomInfo email
Christopher Peacock,Cost Control,62,Consumer products / design,2,P3,Research later,Verify size and operating model,Lower score and likely smaller/niche; not ideal first beta candidate,ZoomInfo email
Croscill,Cost Control,89,Consumer products / textiles,3,P2,Research later,Verify current entity and scale,Good intent score but needs current company validation,ZoomInfo email
U.S. Naval War College,Cost Control,91,Public sector / education,1,Hold,Likely not beta fit,Exclude unless Jeff wants public-sector test,Government/public procurement path likely slow and constrained,ZoomInfo email
Beacon City School District,Cost Control,83,Public education,2,Hold,Public-sector review,Hold for later education/nonprofit batch,School district may have budget pressure but procurement likely constrained,ZoomInfo email
Community Healthcare Network,Cost Control,97,Healthcare / nonprofit multi-site,4,P1,Ready for research,Build report-first opportunity brief,High score; multi-site healthcare network appears relevant,ZoomInfo email
New York State Bar Association,Cost Control,99,Association / nonprofit,3,P2,Research later,Validate operating spend and buyer path,Very high intent score but fit depends on operating spend profile,ZoomInfo email
American Bible Society,Cost Control,83,Nonprofit,3,P2,Research later,Validate size spend categories and sensitivity,Nonprofit may fit but needs careful positioning and buyer path,ZoomInfo email
Azure Water Services,Cost Control,64,Water services / industrial,3,P3,Research later,Verify company identity and scale,Lower score; potentially relevant if multi-location/service operations,ZoomInfo email
Autism Care Partners,Cost Control,89,Healthcare / behavioral health multi-site,4,P1,Ready for research,Build report-first opportunity brief,Multi-location healthcare provider; good category-spend hypothesis,ZoomInfo email
Jefferson Radiology,Cost Control,82,Healthcare / radiology,4,P2,Research later,Validate locations ownership and buyer path,Healthcare segment fit; moderate-high score,ZoomInfo email
Cold Spring Harbor Laboratory,Cost Control,95,Research institution / nonprofit,4,P1,Ready for research,Build report-first opportunity brief,High score; likely complex operating spend but nonprofit/research procurement needs care,ZoomInfo email
Euphrates,Cost Control,66,Unknown / possibly food manufacturing,2,Hold,Needs disambiguation,Ask for ZoomInfo domain/link,Name too ambiguous from source-only data,ZoomInfo email
The Institute for Veterans and Military Families,Cost Control,63,Nonprofit / university-affiliated,2,Hold,Research later,Hold for nonprofit/education batch,Lower score and likely institutional routing,ZoomInfo email
St. John's Senior Services,Cost Control,84,Senior care / healthcare,4,P2,Research later,Validate size and buyer path,Healthcare/senior care can fit; score below first batch threshold,ZoomInfo email
Jewish Board of Family & Children's Services,Cost Control,82,Healthcare/social services nonprofit,3,P2,Research later,Validate size procurement and sensitivity,Potential fit but needs careful nonprofit/social-service positioning,ZoomInfo email
Prestige Consumer Healthcare,Supplier Management,80,Consumer healthcare products,5,P1,Ready for research,Build report-first opportunity brief,Supplier-management intent plus larger product company profile; strong spend-category fit,ZoomInfo email
Fuji Industries,Cost Control,93,Manufacturing / industrial,3,P2,Needs disambiguation,Ask for domain or ZoomInfo link,High score but name may map to multiple entities,ZoomInfo email
Brooklyn Academy of Music,Cost Control,84,Arts nonprofit / venue,3,P2,Research later,Hold for nonprofit/venue batch,Potential facilities/vendor spend but nonprofit buyer path may be slower,ZoomInfo email
Maryknoll Fathers & Brothers,Cost Control,81,Religious nonprofit,2,Hold,Research later,Hold for nonprofit sensitivity review,Potentially sensitive relationship/mission context,ZoomInfo email
New York Province,Cost Control,66,Unknown / religious nonprofit,1,Hold,Needs disambiguation,Ask for domain or ZoomInfo link,Name too ambiguous and lower score,ZoomInfo email
Half Hollow Hills Central School District,Cost Control,79,Public education,2,Hold,Public-sector review,Hold for later education batch,Procurement likely constrained; not first private-sector beta,ZoomInfo email
Hcaib,Cost Control,67,Unknown,1,Hold,Needs disambiguation,Ask for domain or ZoomInfo link,Company name unclear from email paste,ZoomInfo email
Cheshire High School,Cost Control,80,Public education,1,Hold,Likely not beta fit,Exclude unless public school test is desired,Individual school is unlikely to be the right buyer/entity,ZoomInfo email
Solomon Schechter Day School,Supplier Management,65,Private education,2,P3,Research later,Validate size and spend categories,Private school could fit but lower score and likely smaller spend,ZoomInfo email
Empower,Cost Control,100,Unknown,2,Hold,Needs disambiguation,Ask for domain or ZoomInfo link,Perfect score but company name is too ambiguous,ZoomInfo email
Halstead,Cost Control,91,Flooring / building materials,4,P1,Ready; verify entity,Build report-first opportunity brief; verify entity,Good score; building-materials profile appears relevant but exact entity must be confirmed,ZoomInfo email
Westchester Jewish Community Services,Cost Control,77,Social services nonprofit,3,P3,Research later,Hold for nonprofit/social-service batch,Potential but lower score and sensitive nonprofit positioning,ZoomInfo email
Connecticut Spring & Stamping,Cost Control,88,Manufacturing / precision components,5,P1,Ready for research,Build report-first opportunity brief,Strong manufacturing fit; precision spring/stamping supplier profile,ZoomInfo email
Delcath Systems,Cost Control,96,Healthcare / life sciences,4,P1,Ready for research,Build report-first opportunity brief,High score; healthcare/life-sciences company with likely specialist vendor categories,ZoomInfo email
Future Care Health Services,Supplier Management,94,Healthcare / senior care or staffing,4,P1,Needs identity confirmation,Ask for domain or ZoomInfo link before full report,High score and healthcare fit but multiple similarly named entities may exist,ZoomInfo email
District Council 37 Hospitals,Cost Control,81,Union / public healthcare,1,Hold,Needs disambiguation,Ask for domain or exclude,Likely not a clean company/buyer target,ZoomInfo email
Bohlsen Restaurant Group,Supplier Management,91,Multi-location restaurant group,5,P1,Ready for research,Build report-first opportunity brief,Restaurant group with supplier-management signal; good beta category fit,ZoomInfo email
Long Island University,Cost Control,75,Private higher education,3,P3,Research later,Hold for education batch,Likely meaningful spend but institutional buyer/procurement path,ZoomInfo email
Angels In Your Home,Cost Control,65,Home care / healthcare,2,P3,Research later,Validate size and category spend,Healthcare adjacent but lower intent score and likely smaller spend,ZoomInfo email
Project Renewal,Cost Control,91,Human services nonprofit,3,P1,Ready for research,Build report-first opportunity brief if nonprofit batch included,High score; facilities/vendor spend possible but sensitive framing required,ZoomInfo email
Bedgear,Cost Control,85,Consumer products / manufacturing / distribution,4,P1,Ready for research,Build report-first opportunity brief,Consumer products company; likely logistics and supplier categories,ZoomInfo email
Consumer Reports,Cost Control,95,Nonprofit / media / testing,3,P1,Ready for research,Build report-first opportunity brief if nonprofit batch included,High score and likely operational/vendor spend; nonprofit positioning needed,ZoomInfo email
US Optical,Cost Control,98,Optical / manufacturing or distribution,3,P1,Needs identity confirmation,Ask for domain or ZoomInfo link before full report,Very high score but company name could map to multiple optical businesses,ZoomInfo email
